distance_km,operateur_enc,type_service_enc,type_ligne_enc,pays_enc,co2_emission_kg,heure_sin,heure_cos
419.7549557678825,0,0,1,1,5.876569380750355,0.9659258262890683,0.25881904510252074
419.7549557678825,0,0,1,1,5.876569380750355,0.49999999999999994,-0.8660254037844387
295.7736619362274,0,0,1,1,4.140831267107184,0.9659258262890683,0.25881904510252074
521.3841514486248,0,0,1,1,7.299378120280748,-0.8660254037844385,-0.5000000000000004
428.7307470206974,0,0,1,1,6.002230458289763,0.7071067811865476,-0.7071067811865475
101.61061003454887,0,0,1,1,1.422548540483684,0.258819045102521,-0.9659258262890682
295.7736619362274,0,0,1,1,4.140831267107184,-0.9659258262890683,-0.25881904510252063
498.8025790322493,0,0,1,1,6.98323610645149,-0.2588190451025208,-0.9659258262890683
295.7736619362274,0,0,1,1,4.140831267107184,-0.9659258262890683,-0.25881904510252063
425.8357320275878,0,0,1,1,5.961700248386229,0.9659258262890683,-0.25881904510252063
146.27680816917388,0,0,1,1,2.0478753143684343,-0.9659258262890683,-0.25881904510252063
178.24759350159556,0,1,1,1,2.495466309022338,0.7071067811865476,0.7071067811865476
353.4434974452957,0,0,1,1,4.94820896423414,1.0,6.123233995736766e-17
297.9927034050914,0,0,1,1,4.171897847671279,0.7071067811865476,-0.7071067811865475
295.7736619362274,0,0,1,1,4.140831267107184,0.9659258262890683,-0.25881904510252063
478.5171371677994,0,0,1,1,6.699239920349191,0.7071067811865476,-0.7071067811865475
86.15545427366249,0,0,1,1,1.2061763598312747,1.0,6.123233995736766e-17
5.478156393341205,0,0,1,1,0.07669418950677687,-0.8660254037844385,-0.5000000000000004
624.7647449392268,0,0,1,1,8.746706429149175,0.9659258262890683,-0.25881904510252063
419.7549557678825,0,1,1,1,5.876569380750355,-0.25881904510252157,0.9659258262890681
189.15397460631235,0,0,1,1,2.6481556444883725,-1.0,-1.8369701987210297e-16
284.370902802049,0,0,1,1,3.981192639228686,0.8660254037844387,-0.4999999999999998
5.478156393341205,0,0,1,1,0.07669418950677687,-0.8660254037844385,-0.5000000000000004
472.99295778413745,0,0,1,1,6.621901408977924,0.258819045102521,-0.9659258262890682
